game_id,hand_value,nb_bouts,nb_bouts_dog,taking,taking_bid_order,number_of_points_achieved,nb_bouts_achieved,reward
130,12.0,0,1,0,0,9.0,0,-3
130,28.0,1,1,0,0,18.0,0,-3
131,25.0,1,1,0,0,53.0,2,6
131,20.0,0,1,1,1,2.0,0,-18
131,21.0,1,1,0,0,17.0,1,6
131,17.0,0,1,0,0,8.0,0,6
132,21.0,0,0,0,0,13.0,0,3
132,22.0,2,0,1,1,29.0,1,-9
132,16.0,0,0,0,0,13.0,0,3
132,27.0,1,0,0,0,33.0,2,3
133,18.0,1,0,0,0,22.0,2,5
133,23.0,0,0,1,1,11.0,0,-15
133,19.0,0,0,0,0,35.0,0,5
133,24.0,2,0,0,0,17.0,1,5
134,14.0,0,0,0,0,15.0,0,3
134,19.0,1,0,0,0,17.0,1,3
134,28.0,1,0,0,0,21.0,1,3
134,22.0,1,0,1,1,27.0,1,-9
135,22.0,1,0,0,0,22.0,2,5
135,27.0,1,0,0,0,20.0,0,5
135,16.0,0,0,1,1,13.0,0,-15
135,20.0,1,0,0,0,33.0,1,5
136,14.0,0,0,0,0,6.0,0,3
136,24.0,1,0,0,0,13.0,1,3
136,27.0,1,0,1,1,33.0,0,-9
136,23.0,1,0,0,0,30.0,2,3
137,26.0,1,0,0,0,13.0,1,3
137,27.0,2,0,1,1,24.0,1,-9
137,19.0,0,0,0,0,24.0,0,3
137,13.0,0,0,0,0,25.0,1,3
138,25.0,1,0,0,0,21.0,0,4
138,12.0,0,0,1,1,15.0,1,-12
138,30.0,2,0,0,0,41.0,2,4
138,17.0,0,0,0,0,10.0,0,4
139,24.0,1,0,0,0,17.0,1,4
139,22.0,0,0,1,1,26.0,0,-12
139,25.0,2,0,0,0,44.0,2,4
139,14.0,0,0,0,0,0,0,4
140,22.0,0,0,0,0,19.0,1,3
140,19.0,2,0,0,0,26.0,1,3
140,21.0,1,0,1,1,31.0,1,-9
140,24.0,0,0,0,0,11.0,0,3
141,25.0,0,0,0,0,24.0,0,3
141,22.0,1,0,1,1,27.0,0,-9
141,21.0,1,0,0,0,16.0,2,3
141,20.0,1,0,0,0,21.0,1,3
142,21.0,0,0,0,0,0,0,3
142,13.0,0,0,1,1,31.0,0,-9
142,19.0,1,0,0,0,21.0,2,3
142,27.0,2,0,0,0,32.0,1,3
143,20.0,1,0,0,0,22.0,2,2
143,20.0,1,0,1,1,37.0,1,-6
143,28.0,1,0,0,0,7.0,0,2
143,17.0,0,0,0,0,19.0,0,2
144,13.0,0,0,0,0,13.0,1,4
144,30.0,1,0,1,1,25.0,0,-12
144,26.0,2,0,0,0,31.0,2,4
144,15.0,0,0,0,0,18.0,0,4
145,17.0,0,1,0,0,7.0,0,2
145,16.0,1,1,1,1,26.0,2,-6
145,23.0,1,1,0,0,46.0,1,2
145,24.0,0,1,0,0,8.0,0,2
146,21.0,1,0,0,0,14.0,1,1
146,18.0,0,0,1,1,44.0,1,-3
146,22.0,2,0,0,0,21.0,1,1
146,23.0,0,0,0,0,8.0,0,1
147,19.0,0,0,0,0,14.0,0,-1
147,21.0,1,0,1,1,50.0,2,3
147,21.0,0,0,0,0,12.0,0,-1
147,27.0,2,0,0,0,12.0,1,-1
148,19.0,1,1,0,0,9.0,1,-1
148,18.0,0,1,0,0,11.0,0,-1
148,30.0,1,1,1,1,33.0,2,3
148,17.0,0,1,0,0,29.0,0,-1
149,19.0,0,0,0,0,13.0,0,3
149,19.0,1,0,1,1,14.0,2,-9
149,27.0,1,0,0,0,42.0,1,3
149,23.0,1,0,0,0,18.0,0,3
150,22.0,0,0,0,0,21.0,0,5
150,25.0,1,0,0,0,31.0,1,5
150,26.0,2,0,1,1,10.0,1,-15
150,15.0,0,0,0,0,20.0,1,5
151,27.0,0,0,0,0,31.0,0,2
151,22.0,1,0,0,0,4,1,2
151,12.0,0,0,1,1,39.0,1,-6
151,23.0,2,0,0,0,11.0,1,2
152,24.0,1,0,0,0,22.0,1,2
152,20.0,2,0,0,0,14.0,1,2
152,20.0,0,0,1,1,38.0,1,-6
